,2,OC-OP,OC-XP,XC-OP,XC-XP
3,EY-a-a,0.14,0.06,0.17,0.28
3,EY-a-he,0.72,0.03,0.37,0.0
3,EY-a-john,0.01,0.0,0.02,0.0
3,EY-a-the,0.28,0.12,0.35,0.69
3,EY-every-a,0.0,0.0,0.0,0.03
3,EY-every-he,0.69,0.01,0.22,0.0
3,EY-every-john,0.0,0.0,0.0,0.01
3,EY-every-the,0.0,0.01,0.0,0.12
3,EY-he-a,0.0,0.0,0.0,0.02
3,EY-he-he,1.0,0.99,1.0,0.98
3,EY-he-john,0.0,0.09,0.01,0.25
3,EY-he-the,0.15,0.17,0.02,0.16
3,EY-john-a,0.0,0.0,0.0,0.0
3,EY-john-he,0.9,0.32,0.19,0.2
3,EY-john-john,0.0,0.01,0.0,0.0
3,EY-john-the,0.02,0.01,0.01,0.0
3,EY-some-a,0.01,0.0,0.01,0.15
3,EY-some-he,0.47,0.0,0.12,0.0
3,EY-some-john,0.0,0.0,0.0,0.0
3,EY-some-the,0.03,0.0,0.02,0.28
3,EY-the-a,0.09,0.08,0.06,0.32
3,EY-the-he,0.89,0.16,0.51,0.3
3,EY-the-john,0.01,0.0,0.02,0.04
3,EY-the-the,1.0,1.0,1.0,1.0
3,RY-a-a,0.42,0.1,0.13,0.12
3,RY-a-he,0.21,0.04,0.03,0.01
3,RY-a-john,0.05,0.0,0.02,0.01
3,RY-a-the,0.34,0.11,0.13,0.4
3,RY-every-a,0.0,0.0,0.0,0.0
3,RY-every-he,0.05,0.0,0.01,0.0
3,RY-every-john,0.02,0.0,0.0,0.0
3,RY-every-the,0.0,0.0,0.01,0.02
3,RY-he-a,0.0,0.01,0.0,0.03
3,RY-he-he,0.5,0.74,0.3,0.49
3,RY-he-john,0.01,0.07,0.08,0.22
3,RY-he-the,0.3,0.35,0.03,0.19
3,RY-john-a,0.0,0.0,0.0,0.0
3,RY-john-he,0.2,0.03,0.04,0.01
3,RY-john-john,0.01,0.01,0.01,0.01
3,RY-john-the,0.01,0.09,0.0,0.0
3,RY-some-a,0.09,0.01,0.01,0.02
3,RY-some-he,0.01,0.0,0.0,0.0
3,RY-some-john,0.0,0.0,0.0,0.0
3,RY-some-the,0.05,0.03,0.02,0.14
3,RY-the-a,0.54,0.14,0.1,0.04
3,RY-the-he,0.27,0.03,0.3,0.17
3,RY-the-john,0.05,0.0,0.13,0.07
3,RY-the-the,1.0,1.0,1.0,1.0
